CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V12, 7M3",1,111291000,111448830,072100000,075882999,130721003,130758830,129100000,144882999,De la Calle 129  hasta la Calle 144z,De la Cra 72 Impar hasta la Cra 75z
"V12, 9M4",1,111261000,111301590,091100000,092882999,130911000,130928830,126100000,130158999,De la Calle 126  hasta la Calle 130bbis,De la Cra 91  hasta la Cra 92z
"V12, 8M2",1,111261000,111288830,084100000,090882999,130841000,130908830,126100000,128882999,De la Calle 126  hasta la Calle 128z,De la Cra 84  hasta la Cra 90z
"V12, 8M3",1,111301580,111311880,084100000,090882999,130841000,130908830,130158000,131187999,De la Calle 130b  hasta la Calle 131cbis,De la Cra 84  hasta la Cra 90z
"V12, 8M3",1,111291000,111301590,084100000,090882999,130841000,130908830,129100000,130158999,De la Calle 129  hasta la Calle 130bbis,De la Cra 84  hasta la Cra 90z
"V12, 9M1",1,111261000,111278830,093100000,095999999,130931000,130961000,126100000,127882999,De la Calle 126  hasta la Calle 127z,De la Cra 93  hasta la Cra 96
"V12, 9M2",1,111261000,111308830,096129000,099999999,130961290,131001001,126100000,130882999,De la Calle 126  hasta la Calle 130z,De la Cra 96a  hasta la Cra 100 Par
"V12, 9M3",1,111281000,111301580,093100000,096882999,130931000,130968830,128100000,130157999,De la Calle 128  hasta la Calle 130b,De la Cra 93  hasta la Cra 96z
"V12,10M1",1,111261000,111311001,100100000,103882999,131001003,131038830,126100000,130999999,De la Calle 126  hasta la Calle 131 Impar,De la Cra 100 Impar hasta la Cra 103z
"V12,10M2",1,111311003,111318830,100100000,103882999,131001003,131038830,131100000,131882999,De la Calle 131 Par hasta la Calle 131z,De la Cra 100 Impar hasta la Cra 103z
"V12,11M1",1,111261000,111311001,118100000,125882999,131181003,131258830,126100000,130999999,De la Calle 126  hasta la Calle 131 Impar,De la Cra 118 Impar hasta la Cra 125z
"V12,11M2",1,111292160,111318830,104100000,117999999,131041000,131181001,129216000,131882999,De la Calle 129d  hasta la Calle 131z,De la Cra 104  hasta la Cra 118 Par
"V12,11M3",1,111261000,111291880,102100000,117999999,131021000,131181001,126100000,129187999,De la Calle 126  hasta la Calle 129cbis,De la Cra 102  hasta la Cra 118 Par
"V13, 0M1",1,111271003,111341001,007100000,008999999,130071003,130091001,127100000,133999999,De la Calle 127 Par hasta la Calle 134 Impar,De la Cra 7 Impar hasta la Cra 9 Par
"V13, 0M2",1,111341003,111401001,007100000,008999999,130071003,130091001,134100000,139999999,De la Calle 134 Par hasta la Calle 140 Impar,De la Cra 7 Impar hasta la Cra 9 Par
"V13, 0M3",1,111271003,111401001,001100000,006999999,130011000,130071001,127100000,139999999,De la Calle 127 Par hasta la Calle 140 Impar,De la Cra 1  hasta la Cra 7 Par
"V13, 0M4",4,411281000,411408830,000100000,005999999,430001000,430061000,128100000,140882999,De la Calle 128  hasta la Calle 140z,De la Cra 0  hasta la Cra 6
"V13, 1M1",1,111341003,111401001,009100000,014999999,130091003,130151001,134100000,139999999,De la Calle 134 Par hasta la Calle 140 Impar,De la Cra 9 Impar hasta la Cra 15 Par
"V13, 1M2",1,111341003,111401001,015100000,018999999,130151003,130191001,134100000,139999999,De la Calle 134 Par hasta la Calle 140 Impar,De la Cra 15 Impar hasta la Cra 19 Par
"V13, 2M1",1,111161003,111271001,019100000,044999999,130191003,130451001,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 19 Impar hasta la Cra 45 Par
"V13, 2M2",1,111271000,111338830,019100000,044999999,130191003,130451001,127100000,133882999,De la Calle 127  hasta la Calle 133z,De la Cra 19 Impar hasta la Cra 45 Par
"V13, 2M3",1,111341000,111401001,019100000,023999999,130191003,130241001,134100000,139999999,De la Calle 134  hasta la Calle 140 Impar,De la Cra 19 Impar hasta la Cra 24 Par
"V13, 5M1",1,111291003,111341001,045100000,053882999,130451003,130538830,129100000,133999999,De la Calle 129 Par hasta la Calle 134 Impar,De la Cra 45 Impar hasta la Cra 53z
"V13, 5M2",1,111341003,111381001,045100000,053882999,130451003,130538830,134100000,137999999,De la Calle 134 Par hasta la Calle 138 Impar,De la Cra 45 Impar hasta la Cra 53z
